name,subdir,N,E,N_types,specificity,degree_mean,degree_hetero,max_edges,clustering_coeff,max_chordless_cycle,self_assembly_probability,tree_num,guided_assembly_probability,tree_depth,tree_leaves,tree_N
0_1_1_12_15_12_21_3_19_5_7_17_9_2_14_5_2_18_8_9_5,bl_3,32,31,8,0.9352678571428572,1.9375,4.1875,27,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_16_13_2_5_15_12_2_19_6_5_7_16_9_9_2_18_20_9,bl_3,39,38,8,0.945054945054945,1.948717948717949,4.307692307692308,34,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_7_17_3_2_21_12_17_2_4_4_4_5_18_20_15_16_20_17_18_15_8_9_8_9_8_8,bl_3,42,41,9,0.9270833333333334,1.9523809523809523,4.142857142857143,37,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_17_22_6_3_20_9_2_14_15_18_5_9_10_3,bl_3,22,21,9,0.9204545454545454,1.9090909090909087,4.0,17,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_2_19_14_7_11_14_20_11_8_2_19_3_9_20_6,bl_3,29,28,9,0.9267241379310344,1.9310344827586208,4.206896551724138,24,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_13_10_18_19_7_21_2_9_15_8_17_20_2_5_19_9_4_18_2_5_4_15_19_20_9_9_9,bl_3,50,49,8,0.9385714285714284,1.96,4.24,45,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_6_3_15_7_17_2_11_12_4_18_14_4_14_5_2_19_5_9_8_9_8,bl_3,37,36,8,0.9266409266409268,1.945945945945946,4.162162162162162,32,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_10_3_7_2_19_20_12_19_21_14_8_8_17_20_3,bl_3,22,21,9,0.9204545454545454,1.9090909090909087,4.0,17,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_10_15_7_11_19_2_20_15_9_6_3_3,bl_3,19,18,9,0.9078947368421052,1.894736842105263,4.0,14,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_17_12_16_21_22_19_18_20_20_8_9_3_2_19_20_9_2_18_20_8,bl_3,35,34,7,0.9523809523809524,1.9428571428571428,4.171428571428572,30,0.0,0,,0.0,0.0,0.0,1.0,1.0
